Bodenfarbe,count
10YR 4-5/3-4,3151
10YR <=3/3-4,1470
10YR 4-5/6-8,1293
10YR <=3/1-2,1195
10YR 6-7/3-4,945
10YR 4-5/1-2,767
10YR >=8/1-2,746
7.5YR 4-5/3-4,718
2.5Y 4-5/3-4,562
2.5Y 6-7/3-4,546
7.5YR 4-5/6-8,526
2.5Y 4-5/1-2,418
10YR 6-7/6-8,346
7.5YR <=3/1-2,342
2.5Y 6-7/1-2,306
5Y 4-5/1-2,284
5YR 4-5/3-4,249
7.5YR <=3/3-4,236
10YR 6-7/1-2,205
7.5YR 4-5/1-2,138
2.5YR 4-5/3-4,133
2.5Y <=3/1-2,125
5Y 6-7/1-2,125
5YR <=3/3-4,109
5YR 4-5/6-8,107
10YR <=3/6-8,91
7.5YR 6-7/6-8,81
5YR <=3/1-2,66
5Y <=3/1-2,51
7.5YR 6-7/3-4,47
2.5YR 6-7/3-4,46
2.5YR <=3/3-4,41
2.5Y 6-7/6-8,40
5Y 6-7/3-4,36
2.5YR 6-7/1-2,36
5YR 4-5/1-2,35
2.5Y 4-5/6-8,33
2.5YR 4-5/6-8,31
7.5YR 6-7/1-2,29
5Y 4-5/3-4,27
2.5YR 4-5/1-2,27
2.5Y <=3/3-4,25
7.5R <=3/1-2,14
5YR 6-7/3-4,14
7.5R 4-5/3-4,13
10YR >=8/3-4,11
2.5YR <=3/1-2,10
7.5R <=3/3-4,10
10R 4-5/6-8,10
2.5YR 6-7/6-8,9
2.5Y >=8/1-2,9
10R 4-5/3-4,8
10R <=3/3-4,8
5YR 6-7/1-2,7
10Y 4-5/1-2,6
2.5YR <=3/6-8,6
5Y >=8/1-2,5
7.5R 4-5/6-8,5
10YR >=8/6-8,4
10Y <=3/1-2,4
10R 6-7/3-4,4
10R <=3/1-2,4
7.5YR >=8/1-2,3
5GY 4-5/1-2,3
7.5R 4-5/1-2,3
5R 4-5/3-4,2
10Y <=3/3-4,2
7.5R 6-7/3-4,2
10R >=8/1-2,2
10Y 6-7/1-2,2
5YR 6-7/6-8,2
7.5R 6-7/1-2,1
5Y 6-7/6-8,1
5Y >=8/3-4,1
5R 4-5/1-2,1
2.5YR >=8/1-2,1
10Y 6-7/3-4,1
10R 6-7/1-2,1
